GAPLENGHT, PREAMBLELENGHT, PAYLOADLENGHT, DATARATE, speed, totalPackets, totalBits, Count, correctCount, correctPercentage, Starttime, Endtime, Duration, Missedframes, correctDataSpeed, correctPayloadSpeed, usefullPayloadSpeed, distance
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    78,    74,    94%,    1641505598.1900082,    1641505688.447835,    90.25782871246338,    77,    262,    196,    196,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    120,    117,    97%,    1641505688.4480488,    1641505808.478802,    120.03075408935547,    119,    311,    233,    233,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    140,    139,    99%,    1641505808.479025,    1641505959.2322261,    150.75320315361023,    139,    295,    221,    221,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    187,    185,    98%,    1641505959.235701,    1641506139.7537951,    180.5180959701538,    186,    327,    245,    245,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    289,    286,    98%,    1641506139.7559118,    1641506440.543912,    300.78800106048584,    288,    304,    228,    228,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    442,    435,    98%,    1641506440.54411,    1641506890.645868,    450.1017589569092,    440,    309,    231,    231,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    608,    606,    99%,    1641506890.646192,    1641507490.7844071,    600.1382169723511,    606,    323,    242,    242,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    1137,    1119,    98%,    1641507490.7847428,    1641508691.0616162,    1200.2768740653992,    1133,    298,    223,    223,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    3,    0,    0%,    1641508691.0636559,    1641508722.414477,    31.35082221031189,    2,    0,    0,    0,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    52,    52,    100%,    1641508722.414677,    1641508788.282475,    65.86780023574829,    51,    252,    189,    189,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    83,    81,    97%,    1641508788.28267,    1641508878.308154,    90.02548480033875,    82,    287,    215,    215,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    120,    120,    100%,    1641508878.308386,    1641508999.293333,    120.98494791984558,    119,    317,    238,    236,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    153,    148,    96%,    1641508999.297468,    1641509150.051031,    150.7535650730133,    152,    314,    235,    235,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    182,    182,    100%,    1641509150.051272,    1641509332.4934132,    182.44214296340942,    181,    319,    239,    238,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    303,    302,    99%,    1641509332.493666,    1641509636.3998332,    303.9061689376831,    302,    317,    238,    238,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    451,    449,    99%,    1641509636.400121,    1641510086.7472541,    450.3471350669861,    449,    319,    239,    239,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    600,    592,    98%,    1641510086.747452,    1641510687.371003,    600.6235518455505,    598,    315,    236,    236,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    1156,    1139,    98%,    1641510687.3730948,    1641511892.02978,    1204.656687259674,    1152,    302,    226,    226,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    29,    27,    93%,    1641511892.030067,    1641511922.203032,    30.172967195510864,    28,    286,    214,    214,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    58,    58,    100%,    1641511922.203258,    1641511982.697493,    60.49423694610596,    57,    306,    230,    230,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    93,    91,    97%,    1641511982.697705,    1641512072.956249,    90.25854516029358,    92,    322,    241,    241,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    109,    108,    99%,    1641512072.9564512,    1641512193.536194,    120.57974481582642,    108,    286,    214,    214,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    154,    151,    98%,    1641512193.5364711,    1641512343.7406561,    150.20418667793274,    153,    321,    241,    241,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    166,    164,    98%,    1641512343.747158,    1641512524.262217,    180.51505994796753,    165,    290,    218,    218,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    284,    281,    98%,    1641512524.2624562,    1641512825.359602,    301.0971477031708,    283,    298,    223,    223,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    435,    432,    99%,    1641512825.359824,    1641513275.70663,    450.34680795669556,    433,    306,    230,    230,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    589,    583,    98%,    1641513275.706906,    1641513875.84153,    600.1346247196198,    587,    310,    233,    233,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    1223,    1213,    99%,    1641513875.841818,    1641515076.528091,    1200.6862738132477,    1219,    323,    242,    242,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    32,    31,    96%,    1641515076.534625,    1641515107.258443,    30.723819971084595,    31,    322,    242,    242,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    57,    57,    100%,    1641515107.25866,    1641515167.753224,    60.49456477165222,    56,    301,    226,    226,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    94,    93,    98%,    1641515167.753458,    1641515258.011957,    90.25850105285645,    93,    329,    247,    247,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    110,    108,    98%,    1641515258.012186,    1641515379.0012999,    120.98911595344543,    109,    285,    214,    212,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    156,    154,    98%,    1641515379.0075788,    1641515529.7549021,    150.74732518196106,    155,    326,    245,    245,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    172,    172,    100%,    1641515529.7551382,    1641515710.276284,    180.521146774292,    171,    304,    228,    228,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    296,    295,    99%,    1641515710.276542,    1641516010.8306172,    300.5540761947632,    295,    314,    235,    235,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    450,    447,    99%,    1641516010.830841,    1641516461.16841,    450.33756971359253,    448,    317,    238,    238,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    620,    615,    99%,    1641516461.168652,    1641517061.303485,    600.1348350048065,    618,    327,    245,    245,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    1141,    1123,    98%,    1641517061.30373,    1641518266.211785,    1204.908056974411,    1137,    298,    223,    223,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    24,    23,    95%,    1641518266.21408,    1641518297.110236,    30.89615774154663,    23,    238,    178,    178,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    49,    49,    100%,    1641518297.110462,    1641518357.604943,    60.49448204040527,    48,    259,    194,    194,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    93,    91,    97%,    1641518357.6051798,    1641518447.8677619,    90.26258325576782,    92,    322,    241,    241,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    108,    105,    97%,    1641518447.868004,    1641518567.8946838,    120.02668190002441,    107,    279,    209,    209,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    157,    156,    99%,    1641518567.894884,    1641518718.648061,    150.75317883491516,    156,    331,    248,    248,    95
24,    24,    256,    0.003,    333b/s,    35000,    11200000,    164,    162,    98%,    1641518718.650676,    1641518898.997382,    180.34670782089233,    163,    287,    215,    215,    95
